product_id,category,base_price,image_count,description_word_count,variant_count,has_size_chart,rating,review_count
P-1051,T-shirt,333.5,5,394,13,1,3.6,580
P-1052,Home & Living,215.6,4,163,3,0,1.5,1092
P-1053,T-shirt,162.59,6,213,10,0,3.0,550
P-1054,Watch,462.16,7,259,10,1,3.5,801
P-1055,Watch,644.57,2,105,1,1,3.6,515
P-1056,Shoes,22.99,8,169,11,1,3.3,689
P-1057,Electronics,970.68,3,436,5,0,2.5,1191
P-1058,Shoes,111.28,5,406,12,1,2.5,498
P-1059,Shoes,344.67,1,99,8,1,4.4,1021
P-1060,Shoes,137.74,7,205,10,0,2.4,1098
P-1061,Home & Living,29.2,1,286,13,1,3.2,456
P-1062,Electronics,883.97,2,105,8,0,4.7,36
P-1063,Watch,763.33,1,364,9,0,4.6,61
P-1064,Watch,354.05,3,28,1,0,1.0,75
P-1065,T-shirt,166.46,6,232,4,0,3.0,143
P-1066,Home & Living,54.94,4,34,4,0,1.9,1174
P-1067,T-shirt,65.6,5,51,10,0,5.0,633
P-1068,Home & Living,371.15,5,244,11,1,4.9,1032
P-1069,Shoes,420.11,1,262,6,1,2.7,1191
P-1070,Shoes,204.36,3,131,2,1,3.1,338
P-1071,Home & Living,191.61,4,154,7,0,3.4,1093
P-1072,Watch,788.29,6,176,11,1,4.6,38
P-1073,Electronics,869.88,6,67,4,0,4.1,894
P-1074,T-shirt,374.66,3,357,14,1,2.5,823
P-1075,T-shirt,119.56,6,67,12,0,4.9,814
P-1076,Home & Living,31.27,5,212,12,1,2.0,46
P-1077,T-shirt,116.24,7,424,1,0,3.8,655
P-1078,T-shirt,458.47,2,233,8,1,2.8,667
P-1079,Home & Living,145.92,4,173,10,0,2.4,539
P-1080,Watch,296.95,3,154,9,1,2.6,460
P-1081,Watch,176.53,3,262,6,0,2.7,708
P-1082,T-shirt,214.94,8,295,2,1,1.2,1142
P-1083,T-shirt,391.03,2,233,1,1,3.4,62
P-1084,T-shirt,485.26,3,186,13,1,2.9,1122
P-1085,T-shirt,16.7,7,15,12,0,3.1,770
P-1086,Home & Living,296.72,5,174,10,0,2.5,1108
P-1087,T-shirt,73.29,3,182,13,0,1.9,880
P-1088,Shoes,185.5,8,48,10,0,3.1,117
P-1089,Electronics,1719.14,6,245,5,0,4.5,400
P-1090,Home & Living,313.95,2,84,3,1,1.5,763
P-1091,Shoes,181.79,2,347,14,0,2.7,446
P-1092,Shoes,180.65,6,344,12,1,3.5,80
P-1093,Home & Living,400.27,2,193,1,1,4.1,983
P-1094,Home & Living,490.22,5,214,14,0,3.3,110
P-1095,T-shirt,235.46,8,104,11,1,3.8,899
P-1096,Watch,901.95,3,164,13,0,1.7,633
P-1097,Electronics,420.98,4,179,13,0,1.4,644
P-1098,T-shirt,184.44,6,43,1,0,2.3,1096
P-1099,Shoes,401.71,1,223,8,1,1.6,47
P-1100,Home & Living,11.27,4,266,8,0,3.4,718
P-1101,Shoes,382.38,6,225,2,0,1.2,698
P-1102,Electronics,1800.89,6,372,12,0,4.5,805
P-1103,Electronics,299.25,7,37,10,1,2.3,85
P-1104,Shoes,272.31,1,154,13,0,2.9,66
P-1105,T-shirt,254.24,7,237,6,1,3.2,747
P-1106,Electronics,741.15,4,291,2,1,2.4,876
P-1107,Home & Living,467.51,5,159,5,0,2.5,623
P-1108,Watch,133.49,6,104,8,1,4.4,898
P-1109,Electronics,1424.23,8,232,6,1,3.3,74
P-1110,Watch,976.31,6,444,14,0,3.9,714
P-1111,Shoes,147.19,4,142,6,0,2.3,723
P-1112,T-shirt,370.76,4,56,1,0,4.1,138
P-1113,Watch,614.19,6,187,8,1,3.2,171
P-1114,Shoes,167.95,2,93,1,0,3.7,784
P-1115,T-shirt,301.86,8,47,7,1,2.4,317
P-1116,Watch,168.08,8,146,2,1,2.5,512
P-1117,Watch,182.78,1,238,14,1,1.7,724
P-1118,Home & Living,409.14,3,87,10,1,2.4,1065
P-1119,T-shirt,344.66,8,304,8,1,4.6,421
P-1120,T-shirt,376.33,7,162,1,0,2.6,820
P-1121,Electronics,919.9,3,400,3,0,3.8,1038
P-1122,Home & Living,252.76,6,240,11,1,5.0,1120
P-1123,Home & Living,131.76,7,298,14,1,3.3,516
P-1124,Electronics,295.54,5,168,4,0,1.5,14
P-1125,Home & Living,274.53,5,56,4,0,4.1,94
P-1126,Electronics,1131.18,3,292,5,1,1.7,871
P-1127,Shoes,474.17,4,227,13,1,3.0,984
P-1128,T-shirt,18.87,4,180,12,0,3.3,1156
P-1129,Home & Living,356.55,2,101,10,0,2.7,1052
P-1130,T-shirt,463.53,7,266,14,1,4.9,419
P-1131,T-shirt,172.75,6,64,3,0,3.4,968
P-1132,Home & Living,174.25,4,322,5,0,2.3,574
P-1133,Watch,923.86,2,400,2,1,4.0,639
P-1134,Electronics,1834.22,6,161,9,1,1.7,1184
P-1135,T-shirt,392.44,3,159,10,1,1.9,1072
P-1136,T-shirt,480.92,1,157,6,0,1.3,560
P-1137,T-shirt,161.87,6,224,3,1,4.2,31
P-1138,Home & Living,316.24,5,295,8,0,1.3,589
P-1139,Electronics,1096.34,4,122,2,1,3.2,830
P-1140,Watch,868.7,7,140,10,1,4.6,161
P-1141,Watch,979.98,8,187,7,0,2.6,312
P-1142,Electronics,1376.6,5,337,6,0,4.2,578
P-1143,Electronics,552.55,2,300,8,1,3.4,813
P-1144,Electronics,1894.38,6,407,7,1,1.3,329
P-1145,T-shirt,111.86,3,121,13,0,3.3,699
P-1146,Shoes,447.41,7,206,4,1,2.0,706
P-1147,Watch,377.93,8,231,9,0,4.4,853
P-1148,Watch,875.04,8,68,14,0,4.2,720
P-1149,Shoes,21.01,6,18,8,1,3.5,493
P-1150,Watch,905.54,2,224,5,0,4.3,127
P-1151,Home & Living,409.38,1,431,2,0,2.6,997
P-1152,Shoes,362.9,5,371,6,0,2.1,645
P-1153,Electronics,1240.98,1,318,7,1,4.7,921
P-1154,Home & Living,197.74,2,55,2,0,4.8,818
P-1155,Home & Living,305.54,2,38,5,1,2.2,675
P-1156,T-shirt,363.55,8,236,6,1,2.6,663
P-1157,Home & Living,247.04,2,45,4,1,3.4,957
P-1158,Electronics,735.06,2,82,9,0,3.9,60
P-1159,Electronics,973.39,3,140,2,0,1.0,101
P-1160,Shoes,60.52,5,53,11,1,4.8,1040
P-1161,Shoes,348.37,1,312,12,1,4.8,338
P-1162,Home & Living,381.93,5,383,6,0,2.0,1112
P-1163,Watch,988.28,5,35,10,1,4.7,980
P-1164,Shoes,163.3,7,126,7,1,1.8,826
P-1165,Home & Living,242.36,6,381,7,0,2.3,614
P-1166,T-shirt,328.58,8,117,12,1,1.3,804
P-1167,Electronics,1477.06,4,48,8,0,3.2,981
P-1168,T-shirt,371.55,1,25,13,0,4.5,310
P-1169,Electronics,140.41,7,278,13,1,4.8,1062
P-1170,Watch,134.12,6,254,12,0,3.3,376
P-1171,Shoes,54.93,7,368,4,0,3.9,2
P-1172,Home & Living,183.76,6,333,2,0,3.4,431
P-1173,T-shirt,456.07,7,82,1,1,3.7,1163
P-1174,Electronics,1594.06,3,389,6,1,4.5,10
P-1175,Home & Living,494.7,7,61,4,1,2.6,884
P-1176,Electronics,538.27,2,322,10,0,1.7,258
P-1177,Home & Living,38.34,7,224,1,0,4.7,418
P-1178,Shoes,250.68,1,225,3,1,2.9,780
P-1179,Home & Living,273.12,1,77,14,1,1.4,951
P-1180,Electronics,1005.69,3,418,2,0,1.1,39
P-1181,T-shirt,279.92,3,235,8,1,2.5,327
P-1182,Electronics,1042.16,6,46,12,1,3.7,972
P-1183,T-shirt,40.14,5,233,14,1,4.6,1063
P-1184,Shoes,276.45,5,246,1,1,3.1,335
P-1185,Watch,873.93,1,278,11,1,3.8,1193
P-1186,Watch,765.08,7,142,11,0,4.5,1054
P-1187,Shoes,73.15,3,446,14,1,1.6,355
P-1188,Shoes,417.75,5,21,7,1,2.1,1069
P-1189,Electronics,1300.45,7,363,12,0,3.2,674
P-1190,Electronics,1128.41,8,328,12,0,1.7,36
P-1191,Home & Living,396.52,4,361,4,0,4.8,191
P-1192,T-shirt,387.78,1,403,6,0,1.2,1143
P-1193,Electronics,1981.28,7,294,12,1,3.6,947
P-1194,Home & Living,197.97,5,404,1,1,2.5,946
P-1195,Electronics,947.22,6,235,13,1,2.7,396
P-1196,T-shirt,90.18,7,294,13,1,1.9,1153
P-1197,Watch,309.6,1,391,12,0,2.7,20
P-1198,Home & Living,322.88,6,156,9,0,4.9,569
P-1199,Watch,758.55,3,329,1,1,3.9,491
P-1200,Electronics,452.5,1,102,5,1,4.1,198
P-1201,Electronics,658.92,8,325,10,1,1.7,526
P-1202,T-shirt,10.6,7,282,14,1,2.0,520
P-1203,T-shirt,88.8,6,126,2,0,2.7,1087
P-1204,Home & Living,83.29,5,283,14,1,2.6,606
P-1205,Electronics,1734.23,6,434,8,0,2.9,1111
P-1206,T-shirt,128.6,1,55,6,0,1.8,672
P-1207,Shoes,390.14,2,362,2,0,1.4,588
P-1208,Watch,355.99,6,368,10,0,3.8,142
P-1209,Shoes,30.18,4,314,8,1,1.5,634
P-1210,T-shirt,468.74,7,232,9,1,4.7,1107
P-1211,Electronics,1355.56,8,397,6,1,4.1,894
P-1212,Electronics,411.6,6,21,7,1,1.6,121
P-1213,Electronics,740.1,8,230,7,0,3.6,306
P-1214,Watch,733.24,6,46,8,0,3.0,923
P-1215,Shoes,207.6,5,102,6,0,1.8,902
P-1216,Watch,962.74,2,33,4,1,2.4,531
P-1217,Watch,873.68,8,114,4,0,3.9,577
P-1218,Shoes,398.55,7,435,3,0,2.1,636
P-1219,Watch,492.52,5,408,1,0,4.1,99
P-1220,Shoes,126.4,6,11,7,0,4.4,1004
P-1221,T-shirt,131.14,4,390,14,1,3.3,1107
P-1222,Shoes,56.68,1,388,9,0,2.6,1186
P-1223,Home & Living,14.42,1,433,12,0,2.6,918
P-1224,Electronics,939.85,8,102,10,1,4.3,132
P-1225,Watch,951.15,1,73,6,1,2.5,1130
P-1226,Home & Living,184.8,4,174,1,1,3.8,155
P-1227,Watch,82.48,6,139,9,0,1.9,281
P-1228,Home & Living,323.6,3,207,5,0,1.4,1184
P-1229,T-shirt,296.49,4,285,5,0,4.9,125
P-1230,Shoes,168.33,5,194,7,0,2.0,426
P-1231,Shoes,177.9,6,349,7,1,1.5,307
P-1232,Shoes,108.91,7,17,2,0,1.4,668
P-1233,Home & Living,482.04,7,299,1,0,4.9,426
P-1234,Shoes,18.58,2,154,10,1,4.5,587
P-1235,Electronics,1410.1,1,10,3,1,3.6,1076
P-1236,Home & Living,292.82,6,229,2,1,3.4,574
P-1237,T-shirt,434.55,1,185,13,0,1.4,1182
P-1238,T-shirt,63.46,2,390,6,0,4.7,18
P-1239,Shoes,383.52,1,288,3,0,4.3,821
P-1240,T-shirt,170.91,1,85,10,0,3.3,827
P-1241,Home & Living,229.86,1,233,1,0,1.9,866
P-1242,Shoes,382.08,1,12,5,1,4.8,453
P-1243,Watch,374.19,4,142,2,1,3.3,782
P-1244,Electronics,1644.67,2,373,11,0,1.1,406
P-1245,Electronics,1330.2,4,408,9,0,4.7,323
P-1246,Home & Living,244.8,3,299,14,0,3.5,372
P-1247,Watch,933.13,4,300,8,0,1.4,669
P-1248,Shoes,205.95,5,141,10,0,3.1,1131
P-1249,Shoes,401.89,7,80,8,1,3.3,297
P-1250,Watch,132.69,6,394,12,1,3.1,558
P-1251,Electronics,1312.17,5,223,12,1,4.2,9
P-1252,Shoes,186.78,2,81,8,0,3.2,858
P-1253,Home & Living,158.01,8,28,4,0,3.7,856
P-1254,Shoes,385.66,2,448,2,1,1.7,482
P-1255,Watch,255.9,1,159,5,1,1.9,1183
P-1256,Electronics,842.72,5,450,14,0,5.0,262
P-1257,Home & Living,341.16,2,383,13,1,3.9,458
P-1258,Watch,623.06,6,51,7,1,1.3,743
P-1259,Home & Living,448.15,3,82,8,0,1.9,424
P-1260,Watch,840.27,4,14,12,1,3.6,775
P-1261,Shoes,343.26,4,390,10,1,1.8,1153
P-1262,Watch,579.89,2,295,4,1,3.3,452
P-1263,Home & Living,321.13,7,320,10,0,2.7,54
P-1264,Watch,681.67,4,12,14,1,1.5,626
P-1265,Home & Living,371.22,8,373,1,1,3.7,1107
P-1266,Shoes,396.07,8,170,5,1,3.0,737
P-1267,Home & Living,27.72,1,160,2,0,2.4,340
P-1268,Shoes,469.11,1,340,3,0,2.1,310
P-1269,Electronics,1191.72,4,110,4,1,3.0,560
P-1270,Shoes,274.47,5,300,14,0,3.1,133
P-1271,Electronics,678.89,1,408,5,1,1.7,129
P-1272,Electronics,1953.66,8,275,9,0,1.5,821
P-1273,T-shirt,462.15,6,330,14,0,4.1,380
P-1274,Watch,428.73,1,150,5,1,1.3,993
P-1275,Watch,964.96,4,21,12,1,4.7,988
P-1276,Watch,50.32,3,263,2,1,2.5,286
P-1277,Electronics,464.39,1,139,14,0,4.0,1079
P-1278,T-shirt,220.87,1,108,5,1,4.1,882
P-1279,Watch,651.53,8,282,5,0,1.9,819
P-1280,Watch,454.78,7,125,14,0,1.8,518
P-1281,Electronics,1672.32,5,95,5,1,2.0,404
P-1282,Home & Living,382.54,2,385,7,0,1.9,212
P-1283,Shoes,128.19,5,190,2,1,4.8,163
P-1284,T-shirt,63.77,4,404,5,0,2.1,628
P-1285,Shoes,72.33,2,61,12,1,2.9,553
P-1286,Home & Living,478.55,1,114,1,0,2.3,128
P-1287,Shoes,224.43,5,106,10,0,1.2,231
P-1288,Home & Living,414.31,7,299,8,1,2.8,944
P-1289,T-shirt,42.66,8,182,3,0,3.9,448
P-1290,Home & Living,33.44,8,96,11,1,1.3,407
P-1291,Electronics,1917.35,5,241,10,0,2.2,435
P-1292,Electronics,451.87,3,270,5,0,4.3,519
P-1293,Shoes,20.26,8,377,12,0,2.2,359
P-1294,T-shirt,488.24,7,443,3,1,2.0,835
P-1295,T-shirt,325.51,2,128,14,1,4.9,148
P-1296,Watch,980.97,6,278,5,1,4.0,891
P-1297,Shoes,72.77,7,282,8,1,1.9,487
P-1298,Electronics,838.44,2,287,4,1,4.7,1195
P-1299,Electronics,1327.04,3,131,14,0,4.5,779
P-1300,T-shirt,276.57,5,406,14,0,4.9,301
P-1301,Watch,354.06,6,244,9,1,3.2,769
P-1302,Home & Living,345.8,4,292,2,0,3.0,87
P-1303,Watch,565.13,5,362,8,0,2.2,18
P-1304,Home & Living,55.94,4,376,9,0,2.7,135
P-1305,Shoes,283.44,8,138,12,0,4.5,1127
P-1306,Electronics,1620.13,3,19,5,1,4.3,922
P-1307,Shoes,184.14,5,402,4,0,1.0,601
P-1308,Shoes,27.3,1,23,9,1,4.0,1043
P-1309,Electronics,1699.74,6,321,3,1,1.5,1155
P-1310,Watch,256.35,2,302,6,0,1.0,870
P-1311,Home & Living,24.24,6,269,12,1,2.6,272
P-1312,Watch,737.23,5,345,10,0,3.8,765
P-1313,Shoes,303.69,3,168,12,0,2.3,210
P-1314,Home & Living,375.5,2,126,4,0,3.1,739
P-1315,T-shirt,222.67,2,328,4,1,3.4,762
P-1316,Electronics,668.94,1,410,6,1,3.0,1070
P-1317,Electronics,1983.14,4,84,7,1,4.8,836
P-1318,T-shirt,287.12,2,59,3,0,3.8,253
P-1319,Home & Living,351.86,3,374,3,0,1.2,546
P-1320,Shoes,437.64,5,329,5,0,4.2,1097
P-1321,Home & Living,355.95,2,269,14,1,4.6,930
P-1322,T-shirt,392.3,4,335,9,0,1.9,187
P-1323,T-shirt,378.17,8,45,5,0,2.1,617
P-1324,Watch,311.83,6,129,10,1,2.5,204
P-1325,Watch,860.44,3,93,2,1,3.2,195
P-1326,Shoes,211.44,7,79,2,1,3.7,1171
P-1327,Home & Living,35.61,4,385,14,0,3.0,20
P-1328,Shoes,81.03,7,227,5,0,2.4,370
P-1329,T-shirt,474.05,4,434,1,0,3.9,894
P-1330,Shoes,53.53,6,298,1,1,1.5,27
P-1331,Shoes,275.85,7,95,1,1,3.5,197
P-1332,Shoes,247.5,5,14,2,1,4.4,1089
P-1333,Shoes,236.52,8,444,13,1,3.2,343
P-1334,Watch,979.16,3,328,1,0,2.4,276
P-1335,Watch,770.5,4,223,8,0,4.5,627
P-1336,Watch,949.31,8,67,12,0,3.2,65
P-1337,T-shirt,56.13,3,53,1,0,3.0,773
P-1338,Watch,427.51,3,412,5,0,1.8,267
P-1339,Shoes,56.08,4,306,4,0,3.5,566
P-1340,T-shirt,204.03,8,247,8,0,1.6,467
P-1341,Watch,632.8,5,268,11,0,1.7,485
P-1342,T-shirt,303.08,7,17,5,1,3.6,612
P-1343,Watch,969.37,3,41,9,1,4.0,1039
P-1344,T-shirt,214.7,7,30,14,0,2.3,923
P-1345,Shoes,219.47,7,137,11,1,3.2,352
P-1346,Watch,895.75,6,142,3,0,2.3,264
P-1347,Watch,155.21,4,437,9,0,4.6,456
P-1348,Home & Living,134.62,6,140,12,1,3.1,155
P-1349,Shoes,59.31,5,172,4,0,2.4,942
P-1350,Shoes,376.92,1,288,6,0,4.4,861
P-1351,Electronics,339.9,8,427,2,0,3.7,155
P-1352,T-shirt,331.09,1,256,7,0,3.6,515
P-1353,Shoes,261.2,6,152,5,0,4.1,948
P-1354,Watch,877.64,7,402,3,0,3.7,209
P-1355,Electronics,1374.39,7,100,2,0,2.5,141
P-1356,Watch,172.41,3,39,14,1,2.7,280
P-1357,Shoes,483.46,6,441,9,1,4.9,898
P-1358,Shoes,352.66,4,182,7,0,3.9,762
P-1359,Watch,317.45,7,407,8,1,1.5,675
P-1360,T-shirt,128.53,8,170,8,0,2.2,820
P-1361,Electronics,1487.47,1,205,11,0,4.5,513
P-1362,T-shirt,171.9,6,434,8,0,3.5,1039
P-1363,Home & Living,420.69,8,167,12,0,2.1,493
P-1364,Shoes,290.94,5,334,4,1,3.4,1012
P-1365,Home & Living,267.37,1,333,3,1,1.3,479
P-1366,T-shirt,22.32,7,440,8,1,4.6,173
P-1367,T-shirt,177.0,4,102,6,1,4.8,504
P-1368,Home & Living,323.41,7,357,12,0,2.5,578
P-1369,Watch,620.62,7,370,1,1,3.5,213
P-1370,T-shirt,11.43,5,277,6,0,4.6,361
P-1371,T-shirt,230.73,5,250,3,0,2.9,748
P-1372,Watch,540.74,6,58,14,1,1.9,554
P-1373,Watch,371.92,5,254,1,0,3.1,381
P-1374,T-shirt,204.54,5,314,9,1,1.5,818
P-1375,Electronics,1761.02,5,201,11,1,5.0,126
P-1376,Home & Living,203.34,4,28,12,1,4.6,1132
P-1377,Watch,331.89,2,112,12,1,3.9,1176
P-1378,Electronics,1463.39,7,224,1,1,4.5,989
P-1379,T-shirt,233.56,2,156,12,0,4.0,331
P-1380,Shoes,167.33,1,432,2,1,3.6,201
P-1381,Shoes,445.14,5,275,14,1,1.6,712
P-1382,T-shirt,85.62,3,93,6,0,4.0,386
P-1383,Shoes,15.74,6,277,3,1,2.9,985
P-1384,Home & Living,70.27,1,136,9,1,4.3,276
P-1385,Electronics,1378.64,7,82,5,0,4.2,194
P-1386,Watch,771.38,7,369,11,0,1.0,1141
P-1387,Watch,549.52,2,449,12,1,3.6,420
P-1388,T-shirt,179.48,4,284,13,0,3.6,1006
P-1389,Electronics,691.31,6,73,5,1,2.5,832
P-1390,Watch,973.42,6,385,8,0,3.1,556
P-1391,Watch,248.42,3,243,3,1,2.3,124
P-1392,Home & Living,151.73,5,131,13,1,4.8,1058
P-1393,Watch,568.11,5,86,11,1,1.6,108
P-1394,Watch,503.98,5,171,13,0,2.0,342
P-1395,Electronics,1670.95,5,60,10,1,3.0,382
P-1396,Watch,839.15,4,394,12,0,1.6,482
P-1397,Home & Living,316.85,3,444,13,1,3.9,103
P-1398,T-shirt,398.34,3,174,7,1,1.6,516
P-1399,T-shirt,358.33,6,156,11,1,3.4,1163
P-1400,Home & Living,375.47,7,14,1,1,2.1,557
P-1401,Shoes,472.58,1,380,3,1,4.9,819
P-1402,Shoes,250.79,3,426,14,0,2.8,714
P-1403,T-shirt,187.51,1,188,5,0,2.8,603
P-1404,Electronics,1223.67,7,374,3,0,5.0,115
P-1405,Home & Living,225.18,1,234,8,1,2.2,442
P-1406,Home & Living,260.11,6,198,7,1,4.1,21
P-1407,Home & Living,24.97,3,63,10,0,3.5,276
P-1408,Watch,314.82,8,295,9,1,1.0,18
P-1409,Shoes,341.64,1,336,14,1,1.2,24
P-1410,Home & Living,372.83,5,150,8,1,4.1,1151
P-1411,T-shirt,385.4,4,44,2,0,1.4,801
P-1412,Watch,112.71,3,81,3,0,4.2,44
P-1413,Home & Living,59.46,6,25,2,0,1.5,161
P-1414,Shoes,128.69,6,197,2,0,3.8,183
P-1415,Watch,431.24,7,129,14,0,4.6,732
P-1416,Home & Living,422.69,1,242,14,1,1.1,1076
P-1417,Electronics,333.55,1,192,7,1,2.8,1033
P-1418,Watch,118.19,8,379,14,1,3.9,1011
P-1419,Home & Living,403.94,6,39,4,1,4.7,775
P-1420,Shoes,206.71,7,299,2,0,3.5,1098
P-1421,T-shirt,376.84,7,450,1,0,4.1,1119
P-1422,T-shirt,40.72,2,273,9,1,2.0,888
P-1423,Home & Living,466.13,1,74,11,0,3.3,427
P-1424,Watch,897.28,5,92,1,1,2.5,690
P-1425,Home & Living,66.85,7,227,13,1,4.7,631
P-1426,Shoes,78.17,5,414,11,1,1.7,522
P-1427,T-shirt,341.29,1,103,9,1,2.9,809
P-1428,T-shirt,186.42,8,368,12,0,2.7,226
P-1429,Watch,866.01,5,219,5,1,2.7,897
P-1430,T-shirt,332.1,3,319,8,0,1.9,620
P-1431,Home & Living,27.61,1,225,8,1,1.5,1026
P-1432,Watch,99.59,4,319,6,1,4.6,234
P-1433,Electronics,1664.29,6,147,5,1,1.4,557
P-1434,Home & Living,195.76,8,267,6,1,1.5,1161
P-1435,Electronics,868.15,1,277,6,0,1.0,170
P-1436,T-shirt,482.11,4,355,6,1,2.2,1179
P-1437,T-shirt,265.44,2,292,6,0,1.3,174
P-1438,T-shirt,68.9,6,400,5,1,4.1,518
P-1439,Watch,592.12,8,52,5,1,3.2,622
P-1440,Electronics,1807.27,1,226,8,1,1.8,1082
P-1441,Watch,724.63,5,107,2,0,2.9,1147
P-1442,Watch,959.9,1,128,5,1,5.0,433
P-1443,Electronics,243.65,1,26,11,1,1.8,361
P-1444,T-shirt,314.98,2,310,3,1,4.9,455
P-1445,Watch,690.42,3,330,1,1,4.7,215
P-1446,Watch,107.6,6,251,10,1,4.7,360
P-1447,Electronics,889.72,6,420,2,0,2.4,1145
P-1448,Home & Living,481.53,6,303,14,0,4.0,713
P-1449,Home & Living,234.71,3,15,13,1,1.8,619
P-1450,T-shirt,77.13,3,342,2,1,2.6,271
P-1451,Watch,995.08,8,196,10,0,3.3,1162
P-1452,Home & Living,224.13,3,320,6,1,1.1,619
P-1453,Electronics,774.58,1,116,11,0,4.8,929
P-1454,Home & Living,428.57,6,361,4,1,1.9,1062
P-1455,T-shirt,89.72,8,251,6,1,3.0,136
P-1456,Home & Living,14.43,5,165,10,0,3.5,169
P-1457,Watch,538.95,8,100,6,1,2.0,348
P-1458,Electronics,100.84,4,274,6,0,5.0,545
P-1459,Electronics,1074.17,7,250,3,0,1.4,717
P-1460,T-shirt,395.9,4,358,4,0,2.4,323
P-1461,T-shirt,127.8,2,163,13,1,1.4,314
P-1462,Electronics,534.52,1,410,6,0,3.7,732
P-1463,Watch,464.78,3,158,3,0,4.0,402
P-1464,Home & Living,182.99,7,336,10,1,2.6,461
P-1465,Watch,894.44,2,125,13,1,2.0,1170
P-1466,Watch,396.14,2,280,3,1,2.8,39
P-1467,Home & Living,366.11,5,33,8,1,4.3,289
P-1468,T-shirt,237.01,5,257,4,1,4.7,862
P-1469,Home & Living,385.12,1,258,12,1,2.4,679
P-1470,Home & Living,158.93,3,393,3,0,3.9,843
P-1471,Electronics,1509.6,5,406,7,1,2.2,701
P-1472,Home & Living,359.18,3,444,14,0,2.5,1070
P-1473,Watch,766.54,5,319,5,1,3.6,937
P-1474,Shoes,20.13,2,264,14,0,2.1,9
P-1475,T-shirt,187.24,8,445,9,0,4.0,1125
P-1476,T-shirt,261.79,1,60,4,1,4.7,1111
P-1477,Shoes,351.63,8,432,11,1,4.7,406
P-1478,Shoes,367.2,6,322,1,0,4.2,476
P-1479,T-shirt,179.22,6,349,4,1,4.4,560
P-1480,Watch,463.56,8,74,1,1,2.9,1123
P-1481,Watch,73.93,4,428,8,0,3.8,673
P-1482,Home & Living,57.78,8,324,13,0,3.8,992
P-1483,T-shirt,274.96,5,202,5,0,2.9,999
P-1484,Home & Living,481.14,6,156,12,1,1.5,1112
P-1485,Watch,643.78,2,385,6,1,3.0,839
P-1486,Electronics,1965.62,3,219,4,1,1.7,112
P-1487,Watch,341.44,3,149,1,1,2.3,568
