session_id,user_id,product_id,dwell_time_seconds,scroll_depth_pct,variant_clicks,reviews_expanded,added_to_cart,purchased
S-10064,U-1064,P-1583,114,0.46,7,0,0,0
S-10065,U-1065,P-1993,177,0.16,1,0,0,0
S-10066,U-1066,P-1978,292,0.95,7,0,0,0
S-10067,U-1067,P-1934,230,0.68,3,1,0,0
S-10068,U-1068,P-1461,274,0.45,9,0,1,0
S-10069,U-1069,P-1388,6,0.4,3,1,0,0
S-10070,U-1070,P-1115,112,0.48,5,0,0,0
S-10071,U-1071,P-1252,285,0.21,3,0,0,0
S-10072,U-1072,P-1559,273,0.71,1,0,0,0
S-10073,U-1073,P-1744,284,0.33,8,0,0,0
S-10074,U-1074,P-1779,269,0.84,7,1,0,0
S-10075,U-1075,P-1370,177,0.67,4,1,0,0
S-10076,U-1076,P-1887,159,0.45,7,0,0,0
S-10077,U-1077,P-1160,62,0.9,9,1,0,0
S-10078,U-1078,P-1068,137,0.83,9,0,0,0
S-10079,U-1079,P-1143,294,0.88,2,1,0,0
S-10080,U-1080,P-1327,181,0.9,6,1,0,0
S-10081,U-1081,P-1634,77,0.84,6,0,0,0
S-10082,U-1082,P-1714,12,0.88,4,0,0,0
S-10083,U-1083,P-1965,63,0.45,1,1,0,0
S-10084,U-1084,P-1009,268,0.32,2,1,0,0
S-10085,U-1085,P-1306,89,0.82,9,1,0,0
S-10086,U-1086,P-1638,138,0.53,7,0,0,0
S-10087,U-1087,P-1792,223,0.26,0,0,0,0
S-10088,U-1088,P-1304,194,0.4,1,0,0,0
S-10089,U-1089,P-1287,217,0.93,4,0,0,0
S-10090,U-1090,P-1815,9,0.71,0,0,0,0
S-10091,U-1091,P-1849,287,0.7,4,1,0,0
S-10092,U-1092,P-1001,48,0.98,3,1,0,0
S-10093,U-1093,P-1732,6,0.33,9,0,1,0
S-10094,U-1094,P-1912,33,0.26,8,1,0,0
S-10095,U-1095,P-1375,134,0.18,1,0,0,0
S-10096,U-1096,P-1387,183,0.91,5,1,0,0
S-10097,U-1097,P-1804,223,0.26,0,0,0,0
S-10098,U-1098,P-1236,131,0.78,2,1,0,0
S-10099,U-1099,P-1545,113,0.2,8,0,0,0
S-10100,U-1100,P-1530,11,0.41,8,1,0,0
S-10101,U-1101,P-1105,190,0.21,5,1,0,0
S-10102,U-1102,P-1473,287,0.65,8,0,0,0
S-10103,U-1103,P-1216,92,0.75,7,0,0,0
S-10104,U-1104,P-1634,99,0.18,9,0,0,0
S-10105,U-1105,P-1106,111,0.32,5,1,0,0
S-10106,U-1106,P-1960,299,0.77,3,1,0,0
S-10107,U-1107,P-1260,125,0.68,1,0,0,0
S-10108,U-1108,P-1433,263,0.31,7,1,0,0
S-10109,U-1109,P-1623,196,0.69,8,0,0,0
S-10110,U-1110,P-1084,140,0.25,7,0,0,0
S-10111,U-1111,P-1735,121,0.63,1,1,1,0
S-10112,U-1112,P-1690,176,0.52,2,0,0,0
S-10113,U-1113,P-1709,177,1.0,7,0,0,0
S-10114,U-1114,P-1896,245,0.46,9,0,0,0
S-10115,U-1115,P-1607,213,0.1,6,0,1,0
S-10116,U-1116,P-1844,88,0.54,0,1,0,0
S-10117,U-1117,P-1628,219,0.61,3,0,0,0
S-10118,U-1118,P-1419,219,0.96,2,1,0,0
S-10119,U-1119,P-1233,47,0.39,2,1,1,0
S-10120,U-1120,P-1701,267,0.7,7,1,0,0
S-10121,U-1121,P-1547,14,0.94,8,1,0,0
S-10122,U-1122,P-1673,210,0.73,2,1,0,0
S-10123,U-1123,P-1870,69,0.21,3,0,0,0
S-10124,U-1124,P-1717,175,0.33,8,1,0,0
S-10125,U-1125,P-1229,208,0.12,2,1,0,0
S-10126,U-1126,P-1323,158,0.91,2,1,0,0
S-10127,U-1127,P-1402,166,0.43,2,1,0,0
S-10128,U-1128,P-1773,7,0.88,4,0,0,0
S-10129,U-1129,P-1633,26,0.12,2,1,0,0
S-10130,U-1130,P-1559,208,0.69,1,0,1,1
S-10131,U-1131,P-1874,134,0.16,1,1,0,0
S-10132,U-1132,P-1223,171,0.26,2,1,0,0
S-10133,U-1133,P-1068,281,0.18,1,1,0,0
S-10134,U-1134,P-1267,281,0.27,3,1,0,0
S-10135,U-1135,P-1816,149,0.99,5,1,0,0
S-10136,U-1136,P-1255,175,0.91,2,0,0,0
S-10137,U-1137,P-1442,242,0.21,2,1,0,0
S-10138,U-1138,P-1437,160,0.75,0,0,0,0
S-10139,U-1139,P-1643,181,0.49,9,1,1,1
S-10140,U-1140,P-1842,238,0.32,2,1,0,0
S-10141,U-1141,P-1490,9,0.29,2,0,0,0
S-10142,U-1142,P-1707,64,0.56,3,1,1,1
S-10143,U-1143,P-1306,34,0.83,1,0,0,0
S-10144,U-1144,P-1480,197,0.65,2,1,0,0
S-10145,U-1145,P-1640,144,0.85,8,1,0,0
S-10146,U-1146,P-1443,5,0.18,4,1,0,0
S-10147,U-1147,P-1629,85,0.5,8,0,0,0
S-10148,U-1148,P-1113,221,0.7,3,0,0,0
S-10149,U-1149,P-1344,121,0.71,7,1,0,0
S-10150,U-1150,P-1535,27,0.63,3,0,0,0
S-10151,U-1151,P-1232,1,0.18,7,0,0,0
S-10152,U-1152,P-1697,156,0.73,2,1,1,0
S-10153,U-1153,P-1191,17,0.51,2,0,0,0
S-10154,U-1154,P-1659,140,0.3,3,1,0,0
S-10155,U-1155,P-1323,131,0.65,2,1,0,0
S-10156,U-1156,P-1679,18,0.5,4,0,1,1
S-10157,U-1157,P-1004,112,0.14,5,0,0,0
S-10158,U-1158,P-1332,4,0.2,7,1,0,0
S-10159,U-1159,P-1962,290,0.11,3,0,0,0
S-10160,U-1160,P-1041,77,0.73,8,1,0,0
S-10161,U-1161,P-1515,53,0.21,1,1,1,1
S-10162,U-1162,P-1360,147,0.98,1,1,0,0
S-10163,U-1163,P-1549,212,0.87,4,0,0,0
S-10164,U-1164,P-1125,39,0.21,4,1,0,0
S-10165,U-1165,P-1239,9,0.35,8,1,0,0
S-10166,U-1166,P-1709,297,0.3,4,0,0,0
S-10167,U-1167,P-1151,240,0.41,2,1,0,0
S-10168,U-1168,P-1110,288,0.39,6,0,0,0
S-10169,U-1169,P-1013,282,0.25,5,0,0,0
S-10170,U-1170,P-1662,186,0.75,4,0,0,0
S-10171,U-1171,P-1239,200,0.45,0,0,0,0
S-10172,U-1172,P-1518,76,0.48,0,0,0,0
S-10173,U-1173,P-1436,151,0.96,1,1,0,0
S-10174,U-1174,P-1140,192,0.3,7,1,0,0
S-10175,U-1175,P-1505,289,0.54,2,0,0,0
S-10176,U-1176,P-1902,201,0.25,0,1,0,0
S-10177,U-1177,P-1216,100,0.55,0,1,0,0
S-10178,U-1178,P-1181,99,0.69,1,1,0,0
S-10179,U-1179,P-1640,27,0.79,9,0,1,0
S-10180,U-1180,P-1972,13,0.16,0,1,0,0
S-10181,U-1181,P-1867,90,0.38,9,0,0,0
S-10182,U-1182,P-1229,190,0.57,7,1,0,0
S-10183,U-1183,P-1712,48,0.45,4,1,1,1
S-10184,U-1184,P-1637,20,0.98,8,0,0,0
S-10185,U-1185,P-1025,77,0.34,3,1,0,0
S-10186,U-1186,P-1919,164,0.46,1,0,0,0
S-10187,U-1187,P-1095,251,0.54,7,1,0,0
S-10188,U-1188,P-1064,3,0.36,0,1,0,0
S-10189,U-1189,P-1897,60,0.26,6,0,0,0
S-10190,U-1190,P-1555,217,0.36,9,0,0,0
S-10191,U-1191,P-1105,180,0.77,0,1,1,1
S-10192,U-1192,P-1634,29,0.36,8,0,0,0
S-10193,U-1193,P-1537,166,0.94,9,1,0,0
S-10194,U-1194,P-1517,140,0.81,4,0,1,1
S-10195,U-1195,P-1225,115,0.76,2,1,0,0
S-10196,U-1196,P-1669,69,0.8,2,1,0,0
S-10197,U-1197,P-1451,190,0.7,5,1,0,0
S-10198,U-1198,P-1907,90,0.4,1,0,0,0
S-10199,U-1199,P-1704,165,0.56,2,1,0,0
S-10200,U-1200,P-1374,67,0.44,3,1,0,0
S-10201,U-1201,P-1221,256,0.36,4,1,0,0
S-10202,U-1202,P-1336,167,0.6,3,1,0,0
S-10203,U-1203,P-1114,11,0.27,5,0,0,0
S-10204,U-1204,P-1971,90,0.64,7,0,0,0
S-10205,U-1205,P-1881,38,0.99,9,1,0,0
S-10206,U-1206,P-1750,142,0.2,4,0,0,0
S-10207,U-1207,P-1036,58,0.31,7,0,0,0
S-10208,U-1208,P-1712,260,0.97,8,1,0,0
S-10209,U-1209,P-1519,15,0.96,8,0,0,0
S-10210,U-1210,P-1639,36,0.41,7,0,0,0
S-10211,U-1211,P-1563,88,0.79,6,1,0,0
S-10212,U-1212,P-1718,38,0.15,4,1,0,0
S-10213,U-1213,P-1471,18,0.54,0,0,0,0
S-10214,U-1214,P-1327,141,0.35,2,1,0,0
S-10215,U-1215,P-1120,67,0.34,8,0,0,0
S-10216,U-1216,P-1639,271,0.43,8,0,1,0
S-10217,U-1217,P-1673,198,0.42,9,0,0,0
S-10218,U-1218,P-1612,102,0.76,7,0,0,0
S-10219,U-1219,P-1343,184,0.29,9,0,0,0
S-10220,U-1220,P-1716,235,0.34,2,1,0,0
S-10221,U-1221,P-1403,71,0.79,3,0,0,0
S-10222,U-1222,P-1334,190,0.52,3,1,0,0
S-10223,U-1223,P-1417,25,0.28,2,1,0,0
S-10224,U-1224,P-1515,215,0.74,9,1,0,0
S-10225,U-1225,P-1350,148,0.23,4,0,0,0
S-10226,U-1226,P-1359,63,0.57,9,1,0,0
S-10227,U-1227,P-1328,203,0.65,4,0,0,0
S-10228,U-1228,P-1562,126,1.0,7,1,0,0
S-10229,U-1229,P-1874,68,0.7,9,1,0,0
S-10230,U-1230,P-1373,254,0.61,8,0,0,0
S-10231,U-1231,P-1104,137,0.18,9,0,0,0
S-10232,U-1232,P-1314,7,0.82,4,1,0,0
S-10233,U-1233,P-1756,128,0.97,9,1,0,0
S-10234,U-1234,P-1629,126,0.65,4,1,0,0
S-10235,U-1235,P-1938,147,0.31,5,1,0,0
S-10236,U-1236,P-1634,248,0.15,7,1,0,0
S-10237,U-1237,P-1808,29,0.96,9,1,0,0
S-10238,U-1238,P-1171,194,0.8,4,1,0,0
S-10239,U-1239,P-1360,125,0.8,3,1,0,0
S-10240,U-1240,P-1032,107,0.33,2,0,0,0
S-10241,U-1241,P-1482,103,0.43,6,0,1,0
S-10242,U-1242,P-1140,240,0.31,5,1,0,0
S-10243,U-1243,P-1716,155,0.13,9,0,0,0
S-10244,U-1244,P-1268,201,0.68,0,1,0,0
S-10245,U-1245,P-1467,131,0.14,8,0,0,0
S-10246,U-1246,P-1541,170,0.16,5,1,0,0
S-10247,U-1247,P-1871,145,0.75,0,0,1,0
S-10248,U-1248,P-1222,289,0.37,1,0,0,0
S-10249,U-1249,P-1601,129,0.69,5,0,1,1
S-10250,U-1250,P-1277,283,0.59,2,0,0,0
S-10251,U-1251,P-1585,197,0.9,7,1,1,0
S-10252,U-1252,P-1033,225,0.91,3,0,0,0
S-10253,U-1253,P-1979,236,0.44,4,1,0,0
S-10254,U-1254,P-1697,213,0.46,4,0,0,0
S-10255,U-1255,P-1620,73,0.94,2,1,0,0
S-10256,U-1256,P-1174,184,0.97,3,0,0,0
S-10257,U-1257,P-1161,197,0.91,0,1,0,0
S-10258,U-1258,P-1120,274,0.1,5,0,0,0
S-10259,U-1259,P-1875,98,0.58,3,0,0,0
S-10260,U-1260,P-1468,128,0.27,7,1,0,0
S-10261,U-1261,P-1725,53,0.87,0,0,0,0
S-10262,U-1262,P-1308,4,0.22,5,0,0,0
S-10263,U-1263,P-1713,297,0.54,4,0,0,0
S-10264,U-1264,P-1475,19,0.5,4,1,0,0
S-10265,U-1265,P-1770,108,0.74,3,1,0,0
S-10266,U-1266,P-1646,194,0.82,1,1,0,0
S-10267,U-1267,P-1119,276,0.43,7,0,0,0
S-10268,U-1268,P-1608,297,0.69,1,1,0,0
S-10269,U-1269,P-1225,179,0.37,7,1,0,0
S-10270,U-1270,P-1432,273,0.11,1,1,0,0
S-10271,U-1271,P-1697,82,0.24,7,0,0,0
S-10272,U-1272,P-1791,231,0.99,1,1,1,1
S-10273,U-1273,P-1239,211,0.58,3,0,0,0
S-10274,U-1274,P-1560,114,0.84,4,0,0,0
S-10275,U-1275,P-1786,166,0.87,0,0,0,0
S-10276,U-1276,P-1245,60,0.51,9,1,0,0
S-10277,U-1277,P-1564,234,0.82,8,0,0,0
S-10278,U-1278,P-1689,106,0.4,2,1,0,0
S-10279,U-1279,P-1643,19,0.95,1,1,0,0
S-10280,U-1280,P-1288,95,0.38,4,1,0,0
S-10281,U-1281,P-1200,248,0.46,2,0,0,0
S-10282,U-1282,P-1192,66,0.48,4,1,0,0
S-10283,U-1283,P-1741,213,0.53,9,0,0,0
S-10284,U-1284,P-1759,12,0.97,6,0,0,0
S-10285,U-1285,P-1130,264,0.62,5,0,0,0
S-10286,U-1286,P-1305,245,0.48,6,1,0,0
S-10287,U-1287,P-1166,43,0.64,1,1,0,0
S-10288,U-1288,P-1272,205,0.37,5,0,0,0
S-10289,U-1289,P-1545,263,0.21,7,0,0,0
S-10290,U-1290,P-1776,92,0.27,6,1,0,0
S-10291,U-1291,P-1566,52,0.7,4,0,0,0
S-10292,U-1292,P-1831,268,0.78,9,1,0,0
S-10293,U-1293,P-1445,172,0.71,4,1,1,0
S-10294,U-1294,P-1702,279,0.63,0,0,0,0
S-10295,U-1295,P-1983,32,0.47,9,1,0,0
S-10296,U-1296,P-1723,236,0.64,9,1,0,0
S-10297,U-1297,P-1373,26,0.48,7,1,1,1
S-10298,U-1298,P-1013,289,0.18,7,0,0,0
S-10299,U-1299,P-1341,64,0.52,0,0,0,0
S-10300,U-1300,P-1440,170,0.75,3,1,0,0
S-10301,U-1301,P-1993,290,0.96,6,0,0,0
S-10302,U-1302,P-1940,83,0.15,6,0,0,0
S-10303,U-1303,P-1463,84,0.11,4,0,0,0
S-10304,U-1304,P-1678,235,0.92,4,1,0,0
S-10305,U-1305,P-1150,186,0.86,2,0,0,0
S-10306,U-1306,P-1312,117,0.37,9,1,1,1
S-10307,U-1307,P-1944,38,0.81,2,0,0,0
S-10308,U-1308,P-1545,261,0.38,6,0,0,0
S-10309,U-1309,P-1282,180,0.65,9,0,0,0
S-10310,U-1310,P-1484,276,0.31,0,0,0,0
S-10311,U-1311,P-1160,155,0.98,1,1,0,0
S-10312,U-1312,P-1709,58,0.95,2,1,0,0
S-10313,U-1313,P-1042,132,0.63,9,0,0,0
S-10314,U-1314,P-1133,84,0.32,6,1,0,0
S-10315,U-1315,P-1845,271,0.12,1,1,0,0
S-10316,U-1316,P-1930,106,0.32,7,1,0,0
S-10317,U-1317,P-1192,58,0.69,6,1,0,0
S-10318,U-1318,P-1354,11,0.54,0,1,0,0
S-10319,U-1319,P-1319,48,0.57,9,0,0,0
S-10320,U-1320,P-1680,72,0.21,4,1,0,0
S-10321,U-1321,P-1213,240,0.89,9,1,0,0
S-10322,U-1322,P-1568,281,0.7,2,1,0,0
S-10323,U-1323,P-1497,174,0.67,2,0,0,0
S-10324,U-1324,P-1890,76,0.63,1,1,0,0
S-10325,U-1325,P-1221,24,0.95,7,1,0,0
S-10326,U-1326,P-1590,244,0.71,8,0,0,0
S-10327,U-1327,P-1219,33,0.56,1,0,0,0
S-10328,U-1328,P-1233,293,0.31,8,0,0,0
S-10329,U-1329,P-1646,222,0.81,9,0,0,0
S-10330,U-1330,P-1313,97,0.72,1,1,0,0
S-10331,U-1331,P-1944,187,0.3,5,1,1,0
S-10332,U-1332,P-1111,288,0.91,6,0,1,0
S-10333,U-1333,P-1319,243,0.98,1,0,0,0
S-10334,U-1334,P-1353,166,0.76,8,1,0,0
S-10335,U-1335,P-1567,75,0.18,1,0,0,0
S-10336,U-1336,P-1684,167,0.38,5,1,0,0
S-10337,U-1337,P-1887,109,0.15,9,0,0,0
S-10338,U-1338,P-1773,86,0.72,6,0,0,0
S-10339,U-1339,P-1517,120,0.63,2,0,0,0
S-10340,U-1340,P-1681,245,0.37,7,1,0,0
S-10341,U-1341,P-1155,33,0.75,3,0,0,0
S-10342,U-1342,P-1351,118,0.3,4,1,0,0
S-10343,U-1343,P-1703,3,0.23,0,1,0,0
S-10344,U-1344,P-1707,60,0.42,7,1,1,1
S-10345,U-1345,P-1735,251,0.99,4,0,0,0
S-10346,U-1346,P-1393,24,0.21,9,1,0,0
S-10347,U-1347,P-1360,190,0.68,3,0,0,0
S-10348,U-1348,P-1254,188,0.83,1,0,0,0
S-10349,U-1349,P-1475,93,0.88,0,0,0,0
S-10350,U-1350,P-1130,169,0.78,9,1,0,0
S-10351,U-1351,P-1097,188,0.18,7,1,0,0
S-10352,U-1352,P-1726,268,0.37,2,0,0,0
S-10353,U-1353,P-1253,1,0.84,2,0,0,0
S-10354,U-1354,P-1527,224,0.91,5,1,0,0
S-10355,U-1355,P-1099,188,0.48,9,1,0,0
S-10356,U-1356,P-1869,86,0.76,1,1,0,0
S-10357,U-1357,P-1988,194,0.7,5,1,0,0
S-10358,U-1358,P-1461,165,0.74,5,1,0,0
S-10359,U-1359,P-1453,299,0.21,4,0,0,0
S-10360,U-1360,P-1029,215,0.31,4,0,0,0
S-10361,U-1361,P-1142,12,0.37,5,1,0,0
S-10362,U-1362,P-1856,83,0.87,8,0,0,0
S-10363,U-1363,P-1818,61,0.99,9,1,0,0
S-10364,U-1364,P-1517,162,0.7,2,0,0,0
S-10365,U-1365,P-1032,216,0.71,3,0,0,0
S-10366,U-1366,P-1303,185,0.57,9,0,0,0
S-10367,U-1367,P-1604,29,0.54,2,1,0,0
S-10368,U-1368,P-1056,7,0.95,9,1,0,0
S-10369,U-1369,P-1023,146,0.58,3,0,0,0
S-10370,U-1370,P-1668,178,0.21,0,1,0,0
S-10371,U-1371,P-1811,85,0.33,3,1,1,1
S-10372,U-1372,P-1511,117,0.6,6,0,0,0
S-10373,U-1373,P-1869,176,0.4,0,0,1,1
S-10374,U-1374,P-1097,167,0.12,3,0,0,0
S-10375,U-1375,P-1549,21,0.18,4,1,0,0
S-10376,U-1376,P-1097,192,0.67,8,0,0,0
S-10377,U-1377,P-1323,236,0.19,4,0,0,0
S-10378,U-1378,P-1078,245,0.92,3,0,0,0
S-10379,U-1379,P-1589,117,0.51,7,1,0,0
S-10380,U-1380,P-1854,2,0.67,3,0,0,0
S-10381,U-1381,P-1946,19,0.65,4,0,0,0
S-10382,U-1382,P-1646,87,0.37,0,0,0,0
S-10383,U-1383,P-1257,185,0.91,8,0,0,0
S-10384,U-1384,P-1968,273,0.78,7,0,0,0
S-10385,U-1385,P-1585,107,0.25,1,0,0,0
S-10386,U-1386,P-1677,43,0.26,7,1,0,0
S-10387,U-1387,P-1726,292,0.54,4,0,0,0
S-10388,U-1388,P-1379,86,0.36,5,0,0,0
S-10389,U-1389,P-1034,113,0.16,2,0,1,0
S-10390,U-1390,P-1927,112,0.91,7,1,0,0
S-10391,U-1391,P-1400,97,0.62,6,0,0,0
S-10392,U-1392,P-1467,173,0.27,5,0,0,0
S-10393,U-1393,P-1816,176,0.78,5,1,0,0
S-10394,U-1394,P-1921,153,0.67,3,0,0,0
S-10395,U-1395,P-1283,264,0.37,0,1,1,1
S-10396,U-1396,P-1686,40,0.33,0,1,0,0
S-10397,U-1397,P-1339,260,0.56,0,1,0,0
S-10398,U-1398,P-1374,188,0.64,2,1,0,0
S-10399,U-1399,P-1011,160,0.35,0,1,0,0
S-10400,U-1400,P-1683,288,0.32,0,1,0,0
S-10401,U-1401,P-1709,293,0.92,3,1,0,0
S-10402,U-1402,P-1821,178,0.15,4,1,0,0
S-10403,U-1403,P-1541,134,0.12,6,0,0,0
S-10404,U-1404,P-1510,23,0.21,9,0,0,0
S-10405,U-1405,P-1749,258,0.13,8,0,0,0
S-10406,U-1406,P-1546,279,0.89,7,1,0,0
S-10407,U-1407,P-1160,60,0.84,0,1,0,0
S-10408,U-1408,P-1732,198,0.69,7,1,0,0
S-10409,U-1409,P-1985,42,0.88,8,0,0,0
S-10410,U-1410,P-1329,74,0.15,7,0,0,0
S-10411,U-1411,P-1937,254,0.53,4,1,0,0
S-10412,U-1412,P-1266,283,0.22,7,0,0,0
S-10413,U-1413,P-1656,197,0.21,7,1,0,0
S-10414,U-1414,P-1284,204,0.95,1,0,0,0
S-10415,U-1415,P-1600,186,0.2,1,1,0,0
S-10416,U-1416,P-1679,296,0.18,0,0,0,0
S-10417,U-1417,P-1366,48,0.52,2,0,0,0
S-10418,U-1418,P-1569,17,0.87,0,1,1,1
S-10419,U-1419,P-1963,158,0.15,5,1,1,1
S-10420,U-1420,P-1366,31,0.76,6,0,0,0
S-10421,U-1421,P-1690,169,0.75,2,1,0,0
S-10422,U-1422,P-1197,240,0.81,3,0,0,0
S-10423,U-1423,P-1083,20,0.96,4,0,0,0
S-10424,U-1424,P-1516,215,0.59,9,0,0,0
S-10425,U-1425,P-1176,188,0.77,7,1,0,0
S-10426,U-1426,P-1634,251,0.77,4,1,0,0
S-10427,U-1427,P-1696,72,0.45,4,1,0,0
S-10428,U-1428,P-1093,296,0.51,5,0,0,0
S-10429,U-1429,P-1877,92,0.58,8,0,0,0
S-10430,U-1430,P-1961,139,0.62,6,1,1,0
S-10431,U-1431,P-1654,238,0.81,8,1,0,0
S-10432,U-1432,P-1372,157,0.51,1,0,0,0
S-10433,U-1433,P-1090,175,0.7,9,1,0,0
S-10434,U-1434,P-1319,134,0.46,9,1,0,0
S-10435,U-1435,P-1339,59,0.24,6,0,0,0
S-10436,U-1436,P-1681,173,0.52,9,0,0,0
S-10437,U-1437,P-1004,27,0.52,2,0,0,0
S-10438,U-1438,P-1205,242,0.36,9,0,0,0
S-10439,U-1439,P-1255,204,0.88,1,0,0,0
S-10440,U-1440,P-1497,174,0.59,0,1,0,0
S-10441,U-1441,P-1021,13,0.56,1,0,0,0
S-10442,U-1442,P-1440,59,0.57,8,0,0,0
S-10443,U-1443,P-1962,146,0.75,2,0,0,0
S-10444,U-1444,P-1626,63,0.39,9,0,0,0
S-10445,U-1445,P-1918,265,0.62,5,0,0,0
S-10446,U-1446,P-1495,223,0.76,9,1,0,0
S-10447,U-1447,P-1874,18,0.61,8,1,0,0
S-10448,U-1448,P-1118,248,0.59,8,0,0,0
S-10449,U-1449,P-1160,38,0.11,3,1,0,0
S-10450,U-1450,P-1972,52,0.85,6,0,0,0
S-10451,U-1451,P-1096,87,0.98,3,1,0,0
S-10452,U-1452,P-1000,6,0.85,9,0,0,0
S-10453,U-1453,P-1494,133,0.2,3,1,1,0
S-10454,U-1454,P-1744,287,0.39,4,1,0,0
S-10455,U-1455,P-1670,7,0.2,2,0,0,0
S-10456,U-1456,P-1909,87,0.25,7,1,0,0
S-10457,U-1457,P-1446,81,0.65,8,0,0,0
S-10458,U-1458,P-1305,154,0.5,5,0,0,0
S-10459,U-1459,P-1538,32,0.92,8,1,0,0
S-10460,U-1460,P-1475,178,0.64,4,0,0,0
S-10461,U-1461,P-1663,189,0.89,0,1,0,0
S-10462,U-1462,P-1282,103,0.55,1,1,0,0
S-10463,U-1463,P-1195,230,0.7,1,0,0,0
S-10464,U-1464,P-1306,4,0.94,1,0,0,0
S-10465,U-1465,P-1813,10,0.96,9,0,0,0
S-10466,U-1466,P-1970,104,0.84,5,1,0,0
S-10467,U-1467,P-1264,5,0.49,0,0,0,0
S-10468,U-1468,P-1318,110,0.29,9,1,0,0
S-10469,U-1469,P-1068,246,0.67,2,0,0,0
S-10470,U-1470,P-1962,30,0.17,4,1,0,0
S-10471,U-1471,P-1524,161,0.84,8,1,0,0
S-10472,U-1472,P-1429,26,0.58,9,0,0,0
S-10473,U-1473,P-1770,166,0.36,8,1,0,0
S-10474,U-1474,P-1099,17,0.15,8,0,0,0
S-10475,U-1475,P-1655,207,0.68,6,0,0,0
S-10476,U-1476,P-1097,271,0.97,8,0,0,0
S-10477,U-1477,P-1388,160,0.63,8,1,0,0
