session_id,user_id,product_id,dwell_time_seconds,scroll_depth_pct,variant_clicks,reviews_expanded,added_to_cart,purchased,category,base_price,image_count,description_word_count,variant_count,has_size_chart,rating,review_count,PRI,VRS,SPI,EDI
S-10035,U-1035,P-1700,264,0.57,0,1,1,0,Home & Living,16.05,3,348,10,0,2.0,34,0.06761026159484393,0.42,1.4221392245957656,4.631578947368421
S-10036,U-1036,P-1917,130,0.36,0,0,0,0,Electronics,592.03,1,35,1,1,4.8,1025,0.5339472212702249,0.43999999999999995,6.656086104701486,3.611111111111111
S-10037,U-1037,P-1716,44,0.69,4,1,0,0,Shoes,454.45,1,74,6,1,2.2,938,2.024907543554783,0.43999999999999995,3.011718810851636,0.6376811594202898
S-10038,U-1038,P-1505,242,0.28,2,1,0,0,Shoes,40.64,5,443,3,0,3.4,330,0.1810809606558838,0.7,3.9454404952564026,8.642857142857142
S-10039,U-1039,P-1035,256,0.85,7,0,0,0,Home & Living,248.5,8,292,11,0,2.4,283,1.046800623446649,0.7,2.7115076343173787,3.011764705882353
S-10040,U-1040,P-1465,262,0.66,3,1,0,0,Watch,894.44,2,125,13,1,2.0,1170,1.6276750618721796,0.58,2.8262453454390872,3.9696969696969697
S-10041,U-1041,P-1917,254,0.43,8,1,1,0,Electronics,592.03,1,35,1,1,4.8,1025,0.5339472212702249,0.43999999999999995,6.656086104701486,5.906976744186046
S-10042,U-1042,P-1829,39,0.4,5,1,0,0,Watch,335.92,8,237,5,1,2.9,10,0.6112971320425099,1.0,1.390779258223055,0.975
S-10043,U-1043,P-1966,264,0.47,1,1,0,0,Watch,528.06,8,35,6,0,1.6,736,0.9609477362061435,0.7,2.1128281255005876,5.617021276595745
S-10044,U-1044,P-1214,93,0.48,5,1,0,0,Watch,733.24,6,46,8,0,3.0,923,1.3343281409229875,0.7,4.09722724298501,1.9375
S-10045,U-1045,P-1938,235,0.7,1,0,1,0,Electronics,1001.61,6,417,5,1,4.2,697,0.9033442161655153,1.0,5.500504046320393,3.357142857142857
S-10046,U-1046,P-1337,265,0.38,4,1,0,0,T-shirt,56.13,3,53,1,0,3.0,773,0.2520770647146001,0.42,3.9909431241538362,6.973684210526316
S-10047,U-1047,P-1757,283,0.45,2,1,0,0,T-shirt,215.16,1,331,9,0,4.7,831,0.966272959985629,0.13999999999999999,6.320402494371937,6.288888888888889
S-10048,U-1048,P-1148,58,0.96,5,0,0,0,Watch,875.04,8,68,14,0,4.2,720,1.5923715242393361,0.7,5.527736875319358,0.6041666666666666
S-10049,U-1049,P-1814,241,0.76,4,0,1,0,Home & Living,242.64,4,339,7,1,1.0,1074,1.0221155061291545,0.8599999999999999,1.3960151881123526,3.1710526315789473
S-10050,U-1050,P-1116,249,0.71,4,1,0,0,Watch,168.08,8,146,2,1,2.5,512,0.3058669384189839,1.0,3.1201379225853847,3.507042253521127
S-10051,U-1051,P-1394,187,0.48,0,0,0,0,Watch,503.98,5,171,13,0,2.0,342,0.9171276750618722,0.7,2.335092178866376,3.8958333333333335
S-10052,U-1052,P-1798,61,0.87,9,1,0,0,Home & Living,196.44,3,445,4,0,2.6,397,0.8274990521925945,0.42,3.112955042747908,0.7011494252873564
S-10053,U-1053,P-1303,53,0.55,1,1,0,0,Watch,565.13,5,362,8,0,2.2,18,1.0284066094045712,0.7,1.2955531508332339,0.9636363636363635
S-10054,U-1054,P-1574,15,0.16,9,1,1,1,Electronics,431.06,7,154,1,1,4.9,824,0.3887696387019968,1.0,6.581075718607988,0.9375
S-10055,U-1055,P-1627,66,0.23,6,0,0,0,Shoes,165.13,8,295,10,1,3.1,732,0.735775074633516,1.0,4.090230335169724,2.869565217391304
S-10056,U-1056,P-1879,209,0.97,4,1,0,0,Shoes,171.4,3,31,11,1,4.4,441,0.7637125161520296,0.72,5.360352696228375,2.154639175257732
S-10057,U-1057,P-1916,188,0.74,6,0,0,0,Shoes,11.14,2,112,9,1,1.2,966,0.04963685781758232,0.58,1.6498076389087906,2.5405405405405403
S-10058,U-1058,P-1672,273,0.28,0,0,0,0,Electronics,1503.16,5,373,12,1,3.8,1096,1.3556882339147533,1.0,5.320254189809175,9.749999999999998
S-10059,U-1059,P-1140,234,0.19,3,0,0,0,Watch,868.7,7,140,10,1,4.6,161,1.5808341825593246,1.0,4.680588628413792,12.31578947368421
S-10060,U-1060,P-1679,265,0.25,5,0,0,0,Electronics,1106.46,5,97,9,0,4.1,117,0.9979076101661286,0.7,3.911961392061845,10.6
S-10061,U-1061,P-1835,172,0.42,8,1,0,0,Electronics,1616.2,6,408,5,1,2.5,306,1.4576381247858008,1.0,2.8634238737935984,4.095238095238095
S-10062,U-1062,P-1818,227,0.31,1,1,0,0,Shoes,292.64,3,288,2,1,1.2,342,1.3039255001559504,0.72,1.4010553073198255,7.32258064516129
S-10063,U-1063,P-1932,160,0.38,2,1,0,0,Home & Living,51.14,2,245,5,1,5.0,556,0.21542609208475505,0.58,6.322565239927284,4.2105263157894735
S-10064,U-1064,P-1583,114,0.46,7,0,0,0,Electronics,1798.57,4,186,11,1,3.3,307,1.6221161997871534,0.8599999999999999,3.7818658567625585,2.4782608695652173
S-10065,U-1065,P-1993,177,0.16,1,0,0,0,Watch,743.43,5,269,12,1,2.8,370,1.3528715970301353,1.0,3.313073155060163,11.0625
S-10066,U-1066,P-1978,292,0.95,7,0,0,0,Home & Living,62.07,8,227,13,0,2.8,591,0.2614684696069759,0.7,3.5747637155350427,3.0736842105263156
S-10067,U-1067,P-1934,230,0.68,3,1,0,0,Electronics,595.26,1,419,2,0,2.7,579,0.536860332978589,0.13999999999999999,3.4360351759118513,3.3823529411764706
S-10068,U-1068,P-1461,274,0.45,9,0,1,0,T-shirt,127.8,2,163,13,1,1.4,314,0.5739435038397629,0.58,1.610720338871177,6.088888888888889
S-10069,U-1069,P-1388,6,0.4,3,1,0,0,T-shirt,179.48,4,284,13,0,3.6,1006,0.8060358377868595,0.5599999999999999,4.9786062427573645,0.15
S-10070,U-1070,P-1115,112,0.48,5,0,0,0,T-shirt,301.86,8,47,7,1,2.4,317,1.3556383886468766,1.0,2.7657846637344847,2.3333333333333335
S-10071,U-1071,P-1252,285,0.21,3,0,0,0,Shoes,186.78,2,81,8,0,3.2,858,0.8322416789199305,0.27999999999999997,4.323692110069923,13.571428571428571
S-10072,U-1072,P-1559,273,0.71,1,0,0,0,Electronics,808.93,7,84,5,1,3.0,570,0.7295676328938112,1.0,3.808433525793606,3.8450704225352115
S-10073,U-1073,P-1744,284,0.33,8,0,0,0,Electronics,1974.47,5,200,8,1,3.6,1058,1.7807590324500804,1.0,5.014857848833013,8.606060606060606
S-10074,U-1074,P-1779,269,0.84,7,1,0,0,Electronics,464.83,2,106,9,1,4.7,514,0.41922653727520337,0.58,5.869516886623913,3.2023809523809526
S-10075,U-1075,P-1370,177,0.67,4,1,0,0,T-shirt,11.43,5,277,6,0,4.6,361,0.05133156689271119,0.7,5.4203126748797095,2.6417910447761193
S-10076,U-1076,P-1887,159,0.45,7,0,0,0,Shoes,323.09,5,302,14,0,2.2,649,1.4396025486788753,0.7,2.849867839671461,3.533333333333333
S-10077,U-1077,P-1160,62,0.9,9,1,0,0,Shoes,60.52,5,53,11,1,4.8,1040,0.26966091877200016,1.0,6.67001958587037,0.6888888888888889
S-10078,U-1078,P-1068,137,0.83,9,0,0,0,Home & Living,371.15,5,244,11,1,4.9,1032,1.5634609713972787,1.0,6.8014180197372465,1.6506024096385543
S-10079,U-1079,P-1143,294,0.88,2,1,0,0,Electronics,552.55,2,300,8,1,3.4,813,0.49834051840761917,0.58,4.557333048881727,3.340909090909091
S-10080,U-1080,P-1327,181,0.9,6,1,0,0,Home & Living,35.61,4,385,14,0,3.0,20,0.1500063187160369,0.5599999999999999,1.8267134626340538,2.011111111111111
S-10081,U-1081,P-1634,77,0.84,6,0,0,0,Home & Living,160.54,8,224,14,0,1.6,367,0.6762711150427566,0.7,1.890586540214058,0.9166666666666666
S-10082,U-1082,P-1714,12,0.88,4,0,0,0,Home & Living,349.1,2,136,3,0,3.2,1019,1.4705758456548297,0.27999999999999997,4.433637060018123,0.13636363636363635
S-10083,U-1083,P-1965,63,0.45,1,1,0,0,Home & Living,413.1,5,189,13,1,2.8,37,1.7401743965626186,1.0,2.0370482494467756,1.4
S-10084,U-1084,P-1009,268,0.32,2,1,0,0,Watch,359.06,8,246,2,0,4.3,216,0.6534066094045713,0.7,4.626711724044795,8.375
S-10085,U-1085,P-1306,89,0.82,9,1,0,0,Electronics,1620.13,3,19,5,1,4.3,922,1.4611825610130054,0.72,5.871761141672453,1.0853658536585367
S-10086,U-1086,P-1638,138,0.53,7,0,0,0,Electronics,1190.5,2,196,10,1,1.0,490,1.0737026281137827,0.58,1.239288825558904,2.6037735849056602
S-10087,U-1087,P-1792,223,0.26,0,0,0,0,Watch,706.85,6,101,1,0,4.3,1154,1.2863044111224342,0.7,6.064595835742068,8.576923076923077
S-10088,U-1088,P-1304,194,0.4,1,0,0,0,Home & Living,55.94,4,376,9,0,2.7,135,0.2356459834028392,0.5599999999999999,2.6528336382974684,4.85
S-10089,U-1089,P-1287,217,0.93,4,0,0,0,Shoes,224.43,5,106,10,0,1.2,231,1.0,0.7,1.3072169691999143,2.3333333333333335
S-10090,U-1090,P-1815,9,0.71,0,0,0,0,Shoes,40.92,3,275,8,1,2.3,69,0.18232856569977277,0.72,1.9543078113427053,0.1267605633802817
S-10091,U-1091,P-1849,287,0.7,4,1,0,0,Shoes,357.74,4,137,3,0,1.4,603,1.5939936728601345,0.5599999999999999,1.793000775421748,4.1
S-10092,U-1092,P-1001,48,0.98,3,1,0,0,Electronics,1242.12,8,140,6,1,4.9,805,1.1202583019174226,1.0,6.558242067656496,0.4897959183673469
S-10093,U-1093,P-1732,6,0.33,9,0,1,0,T-shirt,77.44,3,108,5,1,1.1,1187,0.34777922486190327,0.72,1.55760582998297,0.18181818181818182
S-10094,U-1094,P-1912,33,0.26,8,1,0,0,T-shirt,163.94,1,126,4,1,3.3,494,0.7362464633762968,0.43999999999999995,4.095008123295335,1.2692307692307692
S-10095,U-1095,P-1375,134,0.18,1,0,0,0,Electronics,1761.02,5,201,11,1,5.0,126,1.588250148812208,1.0,4.844187086458591,7.444444444444445
S-10096,U-1096,P-1387,183,0.91,5,1,0,0,Watch,549.52,2,449,12,1,3.6,420,1.0,0.58,4.350695640251314,2.010989010989011
S-10097,U-1097,P-1804,223,0.26,0,0,0,0,Electronics,1752.33,3,366,7,0,3.7,142,1.5804127058568878,0.42,3.672505026392331,8.576923076923077
S-10098,U-1098,P-1236,131,0.78,2,1,0,0,Home & Living,292.82,6,229,2,1,3.4,574,1.2334976199502927,1.0,4.320971627742198,1.6794871794871795
S-10099,U-1099,P-1545,113,0.2,8,0,0,0,T-shirt,269.07,8,165,5,1,2.1,922,1.2083801140701487,1.0,2.867604278491198,5.65
S-10100,U-1100,P-1530,11,0.41,8,1,0,0,T-shirt,368.35,1,129,8,1,2.9,335,1.6542417029685186,0.43999999999999995,3.373924472778658,0.2682926829268293
S-10101,U-1101,P-1105,190,0.21,5,1,0,0,T-shirt,254.24,7,237,6,1,3.2,747,1.141779314680918,1.0,4.235137905903666,9.047619047619047
S-10102,U-1102,P-1473,287,0.65,8,0,0,0,Watch,766.54,5,319,5,1,3.6,937,1.3949264812927646,1.0,4.927499963284482,4.415384615384616
S-10103,U-1103,P-1216,92,0.75,7,0,0,0,Watch,962.74,2,33,4,1,2.4,531,1.7519653515795603,0.58,3.0127888748839893,1.2266666666666666
S-10104,U-1104,P-1634,99,0.18,9,0,0,0,Home & Living,160.54,8,224,14,0,1.6,367,0.6762711150427566,0.7,1.890586540214058,5.5
S-10105,U-1105,P-1106,111,0.32,5,1,0,0,Electronics,741.15,4,291,2,1,2.4,876,0.6684373816266527,0.8599999999999999,3.2527233563386475,3.46875
S-10106,U-1106,P-1960,299,0.77,3,1,0,0,Shoes,190.68,7,158,9,1,2.6,378,0.8496190348883839,1.0,3.087518826642862,3.883116883116883
S-10107,U-1107,P-1260,125,0.68,1,0,0,0,Watch,840.27,4,14,12,1,3.6,775,1.5290981219973796,0.8599999999999999,4.790989814531917,1.838235294117647
S-10108,U-1108,P-1433,263,0.31,7,1,0,0,Electronics,1664.29,6,147,5,1,1.4,557,1.5010101192301448,1.0,1.7708205094667668,8.483870967741936
S-10109,U-1109,P-1623,196,0.69,8,0,0,0,T-shirt,450.64,2,74,3,0,4.0,825,2.0238020388916333,0.27999999999999997,5.373275818816783,2.8405797101449277
S-10110,U-1110,P-1084,140,0.25,7,0,0,0,T-shirt,485.26,3,186,13,1,2.9,1122,2.1792787533120763,0.72,4.073780193748297,5.6
S-10111,U-1111,P-1735,121,0.63,1,1,1,0,Shoes,170.99,7,218,13,1,4.9,870,0.7618856659091922,1.0,6.634249137315454,1.9206349206349207
S-10112,U-1112,P-1690,176,0.52,2,0,0,0,Electronics,1231.79,1,48,14,1,2.9,541,1.110941755803676,0.43999999999999995,3.6512542808349946,3.3846153846153846
S-10113,U-1113,P-1709,177,1.0,7,0,0,0,Home & Living,126.09,1,157,6,0,4.2,1089,0.5311512700619234,0.13999999999999999,5.874903699187479,1.77
S-10114,U-1114,P-1896,245,0.46,9,0,0,0,Electronics,1966.72,1,52,6,1,1.2,1074,1.7737693681343458,0.43999999999999995,1.6752182257348232,5.326086956521739
S-10115,U-1115,P-1607,213,0.1,6,0,1,0,Home & Living,251.48,2,375,4,1,2.7,788,1.059353805973293,0.58,3.602213813256772,21.3
S-10116,U-1116,P-1844,88,0.54,0,1,0,0,Shoes,432.85,7,133,1,0,3.2,707,1.928663725883349,0.7,4.199964219963981,1.6296296296296295
S-10117,U-1117,P-1628,219,0.61,3,0,0,0,Watch,898.91,7,359,6,0,4.4,493,1.635809433687582,0.7,5.458231255125373,3.5901639344262297
S-10118,U-1118,P-1419,219,0.96,2,1,0,0,Home & Living,403.94,6,39,4,1,4.7,775,1.7015881039639413,1.0,6.254903368972227,2.28125
S-10119,U-1119,P-1233,47,0.39,2,1,1,0,Home & Living,482.04,7,299,1,0,4.9,426,2.0305825856186024,0.7,5.935648332964053,1.205128205128205
S-10120,U-1120,P-1701,267,0.7,7,1,0,0,Watch,536.12,3,76,8,1,4.4,339,0.9756150822536032,0.72,5.129472143496983,3.8142857142857145
S-10121,U-1121,P-1547,14,0.94,8,1,0,0,Watch,760.45,1,37,8,0,2.9,533,1.3838440821080216,0.13999999999999999,3.6426295865969127,0.14893617021276595
S-10122,U-1122,P-1673,210,0.73,2,1,0,0,Watch,994.95,3,182,11,1,3.7,1109,1.8105801426699666,0.72,5.188965317786721,2.8767123287671232
S-10123,U-1123,P-1870,69,0.21,3,0,0,0,Shoes,167.16,2,307,6,0,4.9,657,0.7448202112017109,0.27999999999999997,6.359420832698811,3.2857142857142856
S-10124,U-1124,P-1717,175,0.33,8,1,0,0,Electronics,779.84,3,155,7,1,1.6,312,0.7033315896751385,0.72,1.838785020972849,5.303030303030303
S-10125,U-1125,P-1229,208,0.12,2,1,0,0,T-shirt,296.49,4,285,5,0,4.9,125,1.3315219832038443,0.5599999999999999,4.739556268812449,17.333333333333332
S-10126,U-1126,P-1323,158,0.91,2,1,0,0,T-shirt,378.17,8,45,5,0,2.1,617,1.6983428391790543,0.7,2.6991251521322304,1.7362637362637363
S-10127,U-1127,P-1402,166,0.43,2,1,0,0,Shoes,250.79,3,426,14,0,2.8,714,1.1174531034175466,0.42,3.680478223908644,3.86046511627907
S-10128,U-1128,P-1773,7,0.88,4,0,0,0,Watch,408.2,4,215,14,0,1.6,658,0.7428301062745669,0.5599999999999999,2.0770315310408023,0.07954545454545454
S-10129,U-1129,P-1633,26,0.12,2,1,0,0,T-shirt,221.18,3,242,9,0,1.3,124,0.9933084834059371,0.42,1.2553615716985984,2.1666666666666665
S-10130,U-1130,P-1559,208,0.69,1,0,1,1,Electronics,808.93,7,84,5,1,3.0,570,0.7295676328938112,1.0,3.808433525793606,3.0144927536231885
S-10131,U-1131,P-1874,134,0.16,1,1,0,0,Shoes,68.32,5,341,13,0,1.9,1027,0.304415630708907,0.7,2.635440769485742,8.375
S-10132,U-1132,P-1223,171,0.26,2,1,0,0,Home & Living,14.42,1,433,12,0,2.6,918,0.06074392350141118,0.13999999999999999,3.5481087836249574,6.576923076923077
S-10133,U-1133,P-1068,281,0.18,1,1,0,0,Home & Living,371.15,5,244,11,1,4.9,1032,1.5634609713972787,1.0,6.8014180197372465,15.61111111111111
S-10134,U-1134,P-1267,281,0.27,3,1,0,0,Home & Living,27.72,1,160,2,0,2.4,340,0.11676987236193606,0.13999999999999999,2.799303589096088,10.407407407407407
S-10135,U-1135,P-1816,149,0.99,5,1,0,0,Home & Living,147.86,7,298,11,1,1.3,824,0.622856902144151,1.0,1.745999680447017,1.505050505050505
S-10136,U-1136,P-1255,175,0.91,2,0,0,0,Watch,255.9,1,159,5,1,1.9,1183,0.465679138156937,0.43999999999999995,2.6891284498687016,1.9230769230769231
S-10137,U-1137,P-1442,242,0.21,2,1,0,0,Watch,959.9,1,128,5,1,5.0,433,1.7467972048333091,0.43999999999999995,6.073044534100405,11.523809523809524
S-10138,U-1138,P-1437,160,0.75,0,0,0,0,T-shirt,265.44,2,292,6,0,1.3,174,1.192077962904747,0.27999999999999997,1.3428443532201138,2.1333333333333333
S-10139,U-1139,P-1643,181,0.49,9,1,1,1,Shoes,334.77,4,133,13,1,3.9,227,1.4916455019382435,0.8599999999999999,4.234889590584464,3.693877551020408
S-10140,U-1140,P-1842,238,0.32,2,1,0,0,Electronics,1727.99,1,389,10,1,3.1,910,1.5584606504446328,0.43999999999999995,4.225016596301174,7.4375
S-10141,U-1141,P-1490,9,0.29,2,0,0,0,Electronics,1242.1,4,38,8,0,4.8,360,1.1202402640740272,0.5599999999999999,5.653322839999565,0.31034482758620696
S-10142,U-1142,P-1707,64,0.56,3,1,1,1,Electronics,1373.83,3,65,11,0,3.0,231,1.2390465195981168,0.42,3.2680424229997858,1.1428571428571428
S-10143,U-1143,P-1306,34,0.83,1,0,0,0,Electronics,1620.13,3,19,5,1,4.3,922,1.4611825610130054,0.72,5.871761141672453,0.40963855421686746
S-10144,U-1144,P-1480,197,0.65,2,1,0,0,Watch,463.56,8,74,1,1,2.9,1123,0.8435725724268452,1.0,4.074296437663109,3.0307692307692307
S-10145,U-1145,P-1640,144,0.85,8,1,0,0,Electronics,615.83,7,200,7,0,1.8,891,0.5554122549108029,0.7,2.4456478077288035,1.6941176470588235
S-10146,U-1146,P-1443,5,0.18,4,1,0,0,Electronics,243.65,1,26,11,1,1.8,361,0.21974602716499217,0.43999999999999995,2.1209919162572777,0.2777777777777778
S-10147,U-1147,P-1629,85,0.5,8,0,0,0,Watch,919.31,8,115,2,0,2.9,607,1.6729327413014994,0.7,3.7179014315403767,1.7
S-10148,U-1148,P-1113,221,0.7,3,0,0,0,Watch,614.19,6,187,8,1,3.2,171,1.1176845246760811,1.0,3.29439646516061,3.157142857142857
S-10149,U-1149,P-1344,121,0.71,7,1,0,0,T-shirt,214.7,7,30,14,0,2.3,923,0.9642071226478646,0.7,3.1412075529551746,1.704225352112676
S-10150,U-1150,P-1535,27,0.63,3,0,0,0,Home & Living,283.94,5,332,3,0,2.4,39,1.196090821011837,0.7,1.7706621379746894,0.42857142857142855
S-10151,U-1151,P-1232,1,0.18,7,0,0,0,Shoes,108.91,7,17,2,0,1.4,668,0.4852738047498106,0.7,1.8216195368359038,0.05555555555555555
S-10152,U-1152,P-1697,156,0.73,2,1,1,0,Watch,809.79,6,181,6,0,4.1,1108,1.473631532974232,0.7,5.749195469627301,2.136986301369863
S-10153,U-1153,P-1191,17,0.51,2,0,0,0,Home & Living,396.52,4,361,4,0,4.8,191,1.6703315219680694,0.5599999999999999,5.0471955571466705,0.3333333333333333
S-10154,U-1154,P-1659,140,0.3,3,1,0,0,Shoes,49.98,2,185,4,0,3.5,320,0.2226975003341799,0.27999999999999997,4.040008786191011,4.666666666666667
S-10155,U-1155,P-1323,131,0.65,2,1,0,0,T-shirt,378.17,8,45,5,0,2.1,617,1.6983428391790543,0.7,2.6991251521322304,2.0153846153846153
S-10156,U-1156,P-1679,18,0.5,4,0,1,1,Electronics,1106.46,5,97,9,0,4.1,117,0.9979076101661286,0.7,3.911961392061845,0.36
S-10157,U-1157,P-1004,112,0.14,5,0,0,0,Electronics,1968.14,1,140,5,1,3.7,840,1.7750500550154225,0.43999999999999995,4.983597828379982,7.999999999999999
S-10158,U-1158,P-1332,4,0.2,7,1,0,0,Shoes,247.5,5,14,2,1,4.4,1089,1.1027937441518514,1.0,6.154661018196408,0.2
S-10159,U-1159,P-1962,290,0.11,3,0,0,0,Watch,564.93,7,167,5,0,4.8,1092,1.0280426554083564,0.7,6.716814228649477,26.363636363636363
S-10160,U-1160,P-1041,77,0.73,8,1,0,0,Electronics,712.85,8,426,9,1,3.8,1062,0.6429138332221,1.0,5.29632628753988,1.0547945205479452
S-10161,U-1161,P-1515,53,0.21,1,1,1,1,T-shirt,161.81,4,292,8,1,3.1,276,0.7266807383123007,0.8599999999999999,3.48689085383615,2.5238095238095237
S-10162,U-1162,P-1360,147,0.98,1,1,0,0,T-shirt,128.53,8,170,8,0,2.2,820,0.5772218978757804,0.7,2.9526301681590685,1.5
S-10163,U-1163,P-1549,212,0.87,4,0,0,0,T-shirt,449.98,3,241,13,0,5.0,229,2.0208380114070152,0.42,5.438079308923196,2.4367816091954024
S-10164,U-1164,P-1125,39,0.21,4,1,0,0,Home & Living,274.53,5,56,4,0,4.1,94,1.1564514090736762,0.7,3.7341790511124433,1.8571428571428572
S-10165,U-1165,P-1239,9,0.35,8,1,0,0,Shoes,383.52,1,288,3,0,4.3,821,1.708862451543911,0.13999999999999999,5.7720967397483145,0.2571428571428571
